k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
500,0.05,0.2234,0.0674,1.0315890628116116,0.0028010048232426864,log_perturbed_endpoint,H1,theta
50,0.1,0.4678,0.1746,1.204882576447323,0.04311628237958568,log_perturbed_endpoint,H1,theta
100,0.1,0.5554,0.2322,1.1669950963267997,0.020101920920447866,log_perturbed_endpoint,H1,theta
200,0.1,0.6178,0.2928,1.1276008680916247,0.009020541537015148,log_perturbed_endpoint,H1,theta
300,0.1,0.6198,0.3072,1.0992318163625812,0.005786441787948001,log_perturbed_endpoint,H1,theta
400,0.1,0.5778,0.3122,1.0760843831010916,0.004213492695505315,log_perturbed_endpoint,H1,theta
500,0.1,0.5214,0.3042,1.0577163536849108,0.00310386594066775,log_perturbed_endpoint,H1,theta
50,0.2,0.863,0.5828,1.3808118828264933,0.05643364132081512,log_perturbed_endpoint,H1,theta
100,0.2,0.9346,0.7194,1.3133142746743232,0.02630143178072537,log_perturbed_endpoint,H1,theta
200,0.2,0.9688,0.8112,1.2335058478603311,0.010358752375745406,log_perturbed_endpoint,H1,theta
300,0.2,0.9644,0.8346,1.1711553425613925,0.006379779851485859,log_perturbed_endpoint,H1,theta
400,0.2,0.9524,0.8334,1.127230258147245,0.004504096255382464,log_perturbed_endpoint,H1,theta
500,0.2,0.916,0.8232,1.0910531932051926,0.0037292574736762247,log_perturbed_endpoint,H1,theta
50,0.35,0.994,0.9376,1.592883311785587,0.07674547547460332,log_perturbed_endpoint,H1,theta
100,0.35,0.9994,0.9812,1.5426622518906443,0.038876520250269636,log_perturbed_endpoint,H1,theta
200,0.35,0.9996,0.9938,1.3314958388610223,0.022091682216838503,log_perturbed_endpoint,H1,theta
300,0.35,0.9996,0.9944,1.2411676750828942,0.011957856310261925,log_perturbed_endpoint,H1,theta
400,0.35,0.9984,0.9944,1.1556037114354303,0.007378846263517975,log_perturbed_endpoint,H1,theta
500,0.35,0.9968,0.9922,1.101132441173752,0.005336818474127422,log_perturbed_endpoint,H1,theta
