k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
500,0.4,0.0656,0.0,1.0099971864315787,0.002323687306505027,power_endpoint,H0,beta
10,0.5,0.0,0.0,0.49541815516606474,0.023539319509340743,power_endpoint,H0,beta
20,0.5,0.0,0.0,0.5449535786637258,0.014196880029787721,power_endpoint,H0,beta
30,0.5,0.0,0.0,0.5823860224235353,0.010436931298478709,power_endpoint,H0,beta
40,0.5,0.0,0.0,0.6108344772242065,0.009129612165290953,power_endpoint,H0,beta
50,0.5,0.0,0.0,0.6329343007121166,0.008058374197682738,power_endpoint,H0,beta
60,0.5,0.0,0.0,0.6532450567214763,0.007265205800870869,power_endpoint,H0,beta
70,0.5,0.0,0.0,0.6715796966379904,0.006666997274137866,power_endpoint,H0,beta
80,0.5,0.0,0.0,0.686707650901084,0.006138327701390169,power_endpoint,H0,beta
90,0.5,0.0,0.0,0.7013589293055628,0.005758040828171052,power_endpoint,H0,beta
100,0.5,0.0,0.0,0.7148065706683163,0.005403182902990759,power_endpoint,H0,beta
110,0.5,0.0,0.0,0.7270265262485506,0.005094402844202633,power_endpoint,H0,beta
120,0.5,0.0,0.0,0.7396917053624218,0.004805558217596795,power_endpoint,H0,beta
130,0.5,0.0,0.0,0.7500747357109856,0.0045835171618697785,power_endpoint,H0,beta
140,0.5,0.0,0.0,0.7609999982692254,0.004358082032554884,power_endpoint,H0,beta
150,0.5,0.0,0.0,0.7699675266148417,0.004137472767613412,power_endpoint,H0,beta
160,0.5,0.0,0.0,0.779601951414807,0.004013796016824036,power_endpoint,H0,beta
170,0.5,0.0,0.0,0.7887487636044515,0.0038359365744371253,power_endpoint,H0,beta
180,0.5,0.0,0.0,0.7971198032950881,0.003759803431568125,power_endpoint,H0,beta
190,0.5,0.0,0.0,0.8052481034182662,0.0035994047793198726,power_endpoint,H0,beta
200,0.5,0.0,0.0,0.8132456852136782,0.003510178263825347,power_endpoint,H0,beta
210,0.5,0.0,0.0,0.8207724707804189,0.0033987790350891644,power_endpoint,H0,beta
220,0.5,0.0,0.0,0.8287010514209006,0.0033386494590503385,power_endpoint,H0,beta
230,0.5,0.0,0.0,0.8358403230412241,0.003225635039992447,power_endpoint,H0,beta
240,0.5,0.0,0.0,0.843301180866272,0.003188707213706308,power_endpoint,H0,beta
250,0.5,0.0,0.0,0.849700303502554,0.003140869717623118,power_endpoint,H0,beta
260,0.5,0.0002,0.0,0.8563465910469288,0.0030363234302787133,power_endpoint,H0,beta
270,0.5,0.0002,0.0,0.8627260432394287,0.002965366935305599,power_endpoint,H0,beta
280,0.5,0.0002,0.0,0.8689298478994024,0.0029441364269855827,power_endpoint,H0,beta
290,0.5,0.0002,0.0,0.8747991518693307,0.0028864701040091528,power_endpoint,H0,beta
300,0.5,0.0002,0.0,0.8806217163422847,0.002853084494693001,power_endpoint,H0,beta
310,0.5,0.0002,0.0,0.886472862909976,0.0028196618140831605,power_endpoint,H0,beta
320,0.5,0.0002,0.0,0.8920807970400834,0.0027808873543476507,power_endpoint,H0,beta
330,0.5,0.0002,0.0,0.8976904453688194,0.0027038641777861866,power_endpoint,H0,beta
340,0.5,0.0002,0.0,0.9031713787657026,0.002643932737366219,power_endpoint,H0,beta
350,0.5,0.0004,0.0,0.9084512346745934,0.0025968898853929315,power_endpoint,H0,beta
360,0.5,0.0004,0.0,0.9136925911433064,0.0025851296232618764,power_endpoint,H0,beta
370,0.5,0.0006,0.0,0.9187720262762982,0.002523863303132417,power_endpoint,H0,beta
380,0.5,0.0006,0.0,0.9236355660669682,0.0024959309906776796,power_endpoint,H0,beta
390,0.5,0.001,0.0,0.9287031952636984,0.0024425823236504784,power_endpoint,H0,beta
400,0.5,0.0008,0.0,0.9331293484469446,0.0024215645412141934,power_endpoint,H0,beta
410,0.5,0.0018,0.0,0.9376934779141269,0.0023651239733817444,power_endpoint,H0,beta
420,0.5,0.0022,0.0,0.9425586416679175,0.0023479524969122474,power_endpoint,H0,beta
430,0.5,0.0026,0.0,0.9471635828213535,0.00230085666095822,power_endpoint,H0,beta
440,0.5,0.0024,0.0,0.9515795535876332,0.0022505409518162847,power_endpoint,H0,beta
450,0.5,0.0052,0.0,0.9556721061503421,0.0022218346129314424,power_endpoint,H0,beta
460,0.5,0.006,0.0,0.9601195125725952,0.002236453247926225,power_endpoint,H0,beta
470,0.5,0.0076,0.0,0.9646384589448993,0.0022022741528639083,power_endpoint,H0,beta
480,0.5,0.009,0.0,0.969021003151757,0.0021804327482287653,power_endpoint,H0,beta
490,0.5,0.0128,0.0,0.9729417607113282,0.0021686693959788172,power_endpoint,H0,beta
500,0.5,0.0152,0.0,0.9768371449571798,0.0021600203701016645,power_endpoint,H0,beta
10,0.7,0.0,0.0,0.18924184293657362,0.0034339929979141535,power_endpoint,H0,beta
20,0.7,0.0,0.0,0.23702795396866735,0.002733840176828527,power_endpoint,H0,beta
30,0.7,0.0,0.0,0.2736384271590966,0.0025048145786196675,power_endpoint,H0,beta
40,0.7,0.0,0.0,0.30256447031772365,0.0023363768814393085,power_endpoint,H0,beta
50,0.7,0.0,0.0,0.32941199074203986,0.0022376706987238754,power_endpoint,H0,beta
60,0.7,0.0,0.0,0.3524867275926501,0.002175348833672976,power_endpoint,H0,beta
70,0.7,0.0,0.0,0.37352673261550706,0.002135018450339781,power_endpoint,H0,beta
80,0.7,0.0,0.0,0.3929174207828858,0.0020914904752313544,power_endpoint,H0,beta
